cons,old,new
CRI_J58T60,753,12
CRI_J61,754,12
CRI_J62_63,755,12
CRI_K,756,12
CRI_L,757,12
CRI_M,758,12
CRI_N,759,12
CRI_O,760,12
CRI_P,761,12
CRI_Q,762,12
CRI_R,763,12
CRI_S,764,12
CRI_T,765,12
CYP_A01_02,766,10
CYP_A03,767,10
CYP_B05_06,768,11
CYP_B07_08,769,11
CYP_B09,770,11
CYP_C10T12,771,11
CYP_C13T15,772,11
CYP_C16,773,11
CYP_C17_18,774,11
CYP_C19,775,11
CYP_C20,776,11
CYP_C21,777,11
CYP_C22,778,11
CYP_C23,779,11
CYP_C24,780,11
CYP_C25,781,11
CYP_C26,782,11
CYP_C27,783,11
CYP_C28,784,11
CYP_C29,785,11
CYP_C30,786,11
CYP_C31T33,787,11
CYP_D,788,12
CYP_E,789,12
CYP_F,790,12
CYP_G,791,12
CYP_H49,792,12
CYP_H50,793,12
CYP_H51,794,12
CYP_H52,795,12
CYP_H53,796,12
CYP_I,797,12
CYP_J58T60,798,12
CYP_J61,799,12
CYP_J62_63,800,12
CYP_K,801,12
CYP_L,802,12
CYP_M,803,12
CYP_N,804,12
CYP_O,805,12
CYP_P,806,12
CYP_Q,807,12
CYP_R,808,12
CYP_S,809,12
CYP_T,810,12
CZE_A01_02,811,10
CZE_A03,812,10
CZE_B05_06,813,11
CZE_B07_08,814,11
CZE_B09,815,11
CZE_C10T12,816,11
CZE_C13T15,817,11
CZE_C16,818,11
CZE_C17_18,819,11
CZE_C19,820,11
CZE_C20,821,11
CZE_C21,822,11
CZE_C22,823,11
CZE_C23,824,11
CZE_C24,825,11
CZE_C25,826,11
CZE_C26,827,11
CZE_C27,828,11
CZE_C28,829,11
CZE_C29,830,11
CZE_C30,831,11
CZE_C31T33,832,11
CZE_D,833,12
CZE_E,834,12
CZE_F,835,12
CZE_G,836,12
CZE_H49,837,12
CZE_H50,838,12
CZE_H51,839,12
CZE_H52,840,12
CZE_H53,841,12
CZE_I,842,12
CZE_J58T60,843,12
CZE_J61,844,12
CZE_J62_63,845,12
CZE_K,846,12
CZE_L,847,12
CZE_M,848,12
CZE_N,849,12
CZE_O,850,12
CZE_P,851,12
CZE_Q,852,12
CZE_R,853,12
CZE_S,854,12
CZE_T,855,12
DEU_A01_02,856,10
DEU_A03,857,10
DEU_B05_06,858,11
DEU_B07_08,859,11
DEU_B09,860,11
DEU_C10T12,861,11
DEU_C13T15,862,11
DEU_C16,863,11
DEU_C17_18,864,11
DEU_C19,865,11
DEU_C20,866,11
DEU_C21,867,11
DEU_C22,868,11
DEU_C23,869,11
DEU_C24,870,11
DEU_C25,871,11
DEU_C26,872,11
DEU_C27,873,11
DEU_C28,874,11
DEU_C29,875,11
DEU_C30,876,11
DEU_C31T33,877,11
DEU_D,878,12
DEU_E,879,12
DEU_F,880,12
DEU_G,881,12
DEU_H49,882,12
DEU_H50,883,12
DEU_H51,884,12
DEU_H52,885,12
DEU_H53,886,12
DEU_I,887,12
DEU_J58T60,888,12
DEU_J61,889,12
DEU_J62_63,890,12
DEU_K,891,12
DEU_L,892,12
DEU_M,893,12
DEU_N,894,12
DEU_O,895,12
DEU_P,896,12
DEU_Q,897,12
DEU_R,898,12
DEU_S,899,12
DEU_T,900,12
DNK_A01_02,901,10
DNK_A03,902,10
DNK_B05_06,903,11
DNK_B07_08,904,11
DNK_B09,905,11
DNK_C10T12,906,11
DNK_C13T15,907,11
DNK_C16,908,11
DNK_C17_18,909,11
DNK_C19,910,11
DNK_C20,911,11
DNK_C21,912,11
DNK_C22,913,11
DNK_C23,914,11
DNK_C24,915,11
DNK_C25,916,11
DNK_C26,917,11
DNK_C27,918,11
DNK_C28,919,11
DNK_C29,920,11
DNK_C30,921,11
DNK_C31T33,922,11
DNK_D,923,12
DNK_E,924,12
DNK_F,925,12
DNK_G,926,12
DNK_H49,927,12
DNK_H50,928,12
DNK_H51,929,12
DNK_H52,930,12
DNK_H53,931,12
DNK_I,932,12
DNK_J58T60,933,12
DNK_J61,934,12
DNK_J62_63,935,12
DNK_K,936,12
DNK_L,937,12
DNK_M,938,12
DNK_N,939,12
DNK_O,940,12
DNK_P,941,12
DNK_Q,942,12
DNK_R,943,12
DNK_S,944,12
DNK_T,945,12
EGY_A01_02,946,10
EGY_A03,947,10
EGY_B05_06,948,11
EGY_B07_08,949,11
EGY_B09,950,11
EGY_C10T12,951,11
EGY_C13T15,952,11
EGY_C16,953,11
EGY_C17_18,954,11
EGY_C19,955,11
EGY_C20,956,11
EGY_C21,957,11
EGY_C22,958,11
EGY_C23,959,11
EGY_C24,960,11
EGY_C25,961,11
EGY_C26,962,11
EGY_C27,963,11
EGY_C28,964,11
EGY_C29,965,11
EGY_C30,966,11
EGY_C31T33,967,11
EGY_D,968,12
EGY_E,969,12
EGY_F,970,12
EGY_G,971,12
EGY_H49,972,12
EGY_H50,973,12
EGY_H51,974,12
EGY_H52,975,12
EGY_H53,976,12
EGY_I,977,12
EGY_J58T60,978,12
EGY_J61,979,12
EGY_J62_63,980,12
EGY_K,981,12
EGY_L,982,12
EGY_M,983,12
EGY_N,984,12
EGY_O,985,12
EGY_P,986,12
EGY_Q,987,12
EGY_R,988,12
EGY_S,989,12
EGY_T,990,12
ESP_A01_02,991,10
ESP_A03,992,10
ESP_B05_06,993,11
ESP_B07_08,994,11
ESP_B09,995,11
ESP_C10T12,996,11
ESP_C13T15,997,11
ESP_C16,998,11
ESP_C17_18,999,11
ESP_C19,1000,11
ESP_C20,1001,11
ESP_C21,1002,11
ESP_C22,1003,11
ESP_C23,1004,11
ESP_C24,1005,11
ESP_C25,1006,11
ESP_C26,1007,11
ESP_C27,1008,11
ESP_C28,1009,11
ESP_C29,1010,11
ESP_C30,1011,11
ESP_C31T33,1012,11
ESP_D,1013,12
ESP_E,1014,12
ESP_F,1015,12
ESP_G,1016,12
ESP_H49,1017,12
ESP_H50,1018,12
ESP_H51,1019,12
ESP_H52,1020,12
ESP_H53,1021,12
ESP_I,1022,12
ESP_J58T60,1023,12
ESP_J61,1024,12
ESP_J62_63,1025,12
ESP_K,1026,12
ESP_L,1027,12
ESP_M,1028,12
ESP_N,1029,12
ESP_O,1030,12
ESP_P,1031,12
ESP_Q,1032,12
ESP_R,1033,12
ESP_S,1034,12
ESP_T,1035,12
EST_A01_02,1036,10
EST_A03,1037,10
EST_B05_06,1038,11
EST_B07_08,1039,11
EST_B09,1040,11
EST_C10T12,1041,11
EST_C13T15,1042,11
EST_C16,1043,11
EST_C17_18,1044,11
EST_C19,1045,11
EST_C20,1046,11
EST_C21,1047,11
EST_C22,1048,11
EST_C23,1049,11
EST_C24,1050,11
EST_C25,1051,11
EST_C26,1052,11
EST_C27,1053,11
EST_C28,1054,11
EST_C29,1055,11
EST_C30,1056,11
EST_C31T33,1057,11
EST_D,1058,12
EST_E,1059,12
EST_F,1060,12
EST_G,1061,12
EST_H49,1062,12
EST_H50,1063,12
EST_H51,1064,12
EST_H52,1065,12
EST_H53,1066,12
EST_I,1067,12
EST_J58T60,1068,12
EST_J61,1069,12
EST_J62_63,1070,12
EST_K,1071,12
EST_L,1072,12
EST_M,1073,12
EST_N,1074,12
EST_O,1075,12
EST_P,1076,12
EST_Q,1077,12
EST_R,1078,12
EST_S,1079,12
EST_T,1080,12
FIN_A01_02,1081,10
FIN_A03,1082,10
FIN_B05_06,1083,11
FIN_B07_08,1084,11
FIN_B09,1085,11
FIN_C10T12,1086,11
FIN_C13T15,1087,11
FIN_C16,1088,11
FIN_C17_18,1089,11
FIN_C19,1090,11
FIN_C20,1091,11
FIN_C21,1092,11
FIN_C22,1093,11
FIN_C23,1094,11
FIN_C24,1095,11
FIN_C25,1096,11
FIN_C26,1097,11
FIN_C27,1098,11
FIN_C28,1099,11
FIN_C29,1100,11
FIN_C30,1101,11
FIN_C31T33,1102,11
FIN_D,1103,12
FIN_E,1104,12
FIN_F,1105,12
FIN_G,1106,12
FIN_H49,1107,12
FIN_H50,1108,12
FIN_H51,1109,12
FIN_H52,1110,12
FIN_H53,1111,12
FIN_I,1112,12
FIN_J58T60,1113,12
FIN_J61,1114,12
FIN_J62_63,1115,12
FIN_K,1116,12
FIN_L,1117,12
FIN_M,1118,12
FIN_N,1119,12
FIN_O,1120,12
FIN_P,1121,12
FIN_Q,1122,12
FIN_R,1123,12
FIN_S,1124,12
FIN_T,1125,12
FRA_A01_02,1126,10
FRA_A03,1127,10
FRA_B05_06,1128,11
FRA_B07_08,1129,11
FRA_B09,1130,11
FRA_C10T12,1131,11
FRA_C13T15,1132,11
FRA_C16,1133,11
FRA_C17_18,1134,11
FRA_C19,1135,11
FRA_C20,1136,11
FRA_C21,1137,11
FRA_C22,1138,11
FRA_C23,1139,11
FRA_C24,1140,11
FRA_C25,1141,11
FRA_C26,1142,11
FRA_C27,1143,11
FRA_C28,1144,11
FRA_C29,1145,11
FRA_C30,1146,11
FRA_C31T33,1147,11
FRA_D,1148,12
FRA_E,1149,12
FRA_F,1150,12
FRA_G,1151,12
FRA_H49,1152,12
FRA_H50,1153,12
FRA_H51,1154,12
FRA_H52,1155,12
FRA_H53,1156,12
FRA_I,1157,12
FRA_J58T60,1158,12
FRA_J61,1159,12
FRA_J62_63,1160,12
FRA_K,1161,12
FRA_L,1162,12
FRA_M,1163,12
FRA_N,1164,12
FRA_O,1165,12
FRA_P,1166,12
FRA_Q,1167,12
FRA_R,1168,12
FRA_S,1169,12
FRA_T,1170,12
GBR_A01_02,1171,10
GBR_A03,1172,10
GBR_B05_06,1173,11
GBR_B07_08,1174,11
GBR_B09,1175,11
GBR_C10T12,1176,11
GBR_C13T15,1177,11
GBR_C16,1178,11
GBR_C17_18,1179,11
GBR_C19,1180,11
GBR_C20,1181,11
GBR_C21,1182,11
GBR_C22,1183,11
GBR_C23,1184,11
GBR_C24,1185,11
GBR_C25,1186,11
GBR_C26,1187,11
GBR_C27,1188,11
GBR_C28,1189,11
GBR_C29,1190,11
GBR_C30,1191,11
GBR_C31T33,1192,11
GBR_D,1193,12
GBR_E,1194,12
GBR_F,1195,12
GBR_G,1196,12
GBR_H49,1197,12
GBR_H50,1198,12
GBR_H51,1199,12
GBR_H52,1200,12
GBR_H53,1201,12
GBR_I,1202,12
GBR_J58T60,1203,12
GBR_J61,1204,12
GBR_J62_63,1205,12
GBR_K,1206,12
GBR_L,1207,12
GBR_M,1208,12
GBR_N,1209,12
GBR_O,1210,12
GBR_P,1211,12
GBR_Q,1212,12
GBR_R,1213,12
GBR_S,1214,12
GBR_T,1215,12
GRC_A01_02,1216,10
GRC_A03,1217,10
GRC_B05_06,1218,11
GRC_B07_08,1219,11
GRC_B09,1220,11
GRC_C10T12,1221,11
GRC_C13T15,1222,11
GRC_C16,1223,11
GRC_C17_18,1224,11
GRC_C19,1225,11
GRC_C20,1226,11
GRC_C21,1227,11
GRC_C22,1228,11
GRC_C23,1229,11
GRC_C24,1230,11
GRC_C25,1231,11
GRC_C26,1232,11
GRC_C27,1233,11
GRC_C28,1234,11
GRC_C29,1235,11
GRC_C30,1236,11
GRC_C31T33,1237,11
GRC_D,1238,12
GRC_E,1239,12
GRC_F,1240,12
GRC_G,1241,12
GRC_H49,1242,12
GRC_H50,1243,12
GRC_H51,1244,12
